,time,mean,stddev,rebaseline,time_num,est_mean
Baseline 100%T,2015-02-06 13:45:42,0.10871863743584904,0.030123160297791718,1.0,1.423230342e+18,0.9882756915967548
empty_1,2015-02-06 13:48:36,0.9957871591830189,0.0006181839516872196,1.0,1.423230516e+18,0.9891131822805619
empty_2_1,2015-02-06 13:50:53,0.9926498154,0.0016441799086350623,1.0,1.423230653e+18,0.9897725858645572
empty_2_2,2015-02-06 13:51:57,0.9908313520943395,0.0015847975967865193,1.0,1.423230717e+18,0.9900806284149439
empty_2_3,2015-02-06 13:52:58,0.9906155265924529,0.0012568410894014939,1.0,1.423230778e+18,0.9903742314709234
empty_2_4,2015-02-06 13:53:58,0.9904821575849055,0.0013141815909733907,1.0,1.423230838e+18,0.9906630213617973
empty_2_5,2015-02-06 13:54:59,0.9908665451943397,0.0012641407357052083,1.0,1.423230899e+18,0.9909566244177768
empty_2_6,2015-02-06 13:55:59,0.9912781452641509,0.0013677349049172555,1.0,1.423230959e+18,0.9912454143086507
empty_2_7,2015-02-06 13:57:00,0.9916097273924528,0.0013801900645898553,1.0,1.42323102e+18,0.9915390173646301
empty_2_8,2015-02-06 13:58:00,0.9916749961339623,0.001463760112987404,1.0,1.42323108e+18,0.991827807255504
empty_2_9,2015-02-06 13:59:01,0.991995391843396,0.0015531552444429076,1.0,1.423231141e+18,0.9921214103114835
empty_2_10,2015-02-06 14:00:01,0.9922570081037735,0.0015687797180073283,1.0,1.423231201e+18,0.9924102002023574
empty_2_11,2015-02-06 14:01:01,0.9925449803188678,0.00154019689579276,1.0,1.423231261e+18,0.9926989900932313
empty_2_12,2015-02-06 14:02:01,0.9928936292471697,0.0016849869287671906,1.0,1.423231321e+18,0.9929877799841051
empty_2_13,2015-02-06 14:03:02,0.993445161064151,0.0015487171594498162,1.0,1.423231382e+18,0.9932813830400846
empty_2_14,2015-02-06 14:04:02,0.9939193149811321,0.0017405421643710368,1.0,1.423231442e+18,0.9935701729309585
empty_2_15,2015-02-06 14:05:03,0.9941675625245282,0.0017932189310144657,1.0,1.423231503e+18,0.993863775986938
empty_3_1,2015-02-06 14:20:40,0.9978184408566037,0.002767231929686346,1.0,1.42323244e+18,0.9983737114516771
empty_3_2,2015-02-06 14:21:41,0.997987086445283,0.0029006875134460486,1.0,1.423232501e+18,0.9986673145067471
empty_3_3,2015-02-06 14:22:42,0.9984327826962264,0.002739297349532897,1.0,1.423232562e+18,0.9989609175627265
empty_3_4,2015-02-06 14:23:42,0.9987989534150943,0.002767121999111305,1.0,1.423232622e+18,0.9992497074536004
empty_3_5,2015-02-06 14:24:43,0.9992173493792454,0.0027873850065050685,1.0,1.423232683e+18,0.9995433105095799
VG05_1_1,2015-02-06 14:27:37,0.5280796166169811,0.0029192380658213364,1.0,1.423232857e+18,1.000380801193387
VG05_1_2,2015-02-06 14:28:38,0.5283064694698113,0.002918340817738932,1.0,1.423232918e+18,1.0006744042493665
VG05_1_3,2015-02-06 14:29:39,0.5285395856150944,0.0029092766507285736,1.0,1.423232979e+18,1.000968007305346
VG05_1_4,2015-02-06 14:30:39,0.5287853125792453,0.002906488459137402,1.0,1.423233039e+18,1.0012567971962198
VG05_1_5,2015-02-06 14:31:40,0.5289415928018869,0.002970409918943974,1.0,1.4232331e+18,1.0015504002521993
Baseline 100%T.1,2015-02-06 14:39:58,0.10976862626141633,0.03014186652891275,1.0048173241453553,1.423233598e+18,1.003947356347453
empty_4_1,2015-02-06 14:41:17,1.0051318690834896,0.00028752760686578824,1.0048173241453553,1.423233677e+18,1.0043275963707856
VG09-12_1_0,2015-02-06 14:50:46,1.005680659663921,0.0004298376869489064,1.0048173241453553,1.423234246e+18,1.0070662871703462
VG09-12_1_2,2015-02-06 14:51:43,0.8794889413437909,0.0009524509810549568,1.0048173241453553,1.423234303e+18,1.0073406375668128
VG09-12_1_4,2015-02-06 14:52:40,0.5120914269344549,0.007618797399087697,1.0048173241453553,1.42323436e+18,1.0076149879632794
VG09-12_1_6,2015-02-06 14:53:37,0.5047800713475253,0.00759166603364403,1.0048173241453553,1.423234417e+18,1.007889338359746
VG09-12_1_8,2015-02-06 14:54:35,0.5123604711126682,0.005078567742796348,1.0048173241453553,1.423234475e+18,1.0081685019204087
VG09-12_1_10,2015-02-06 14:55:32,0.516223789414311,0.005340542741811625,1.0048173241453553,1.423234532e+18,1.0084428523168754
VG09-12_1_12,2015-02-06 14:56:30,0.5217097607120812,0.004817525137217685,1.0048173241453553,1.42323459e+18,1.0087220158784476
VG09-12_1_14,2015-02-06 14:57:27,0.5219907973547239,0.0045236408261159254,1.0048173241453553,1.423234647e+18,1.0089963662749142
VG09-12_1_16,2015-02-06 14:58:24,0.5664047555260614,0.007110308266881811,1.0048173241453553,1.423234704e+18,1.0092707166713808
VG09-12_1_18,2015-02-06 14:59:22,0.534420999656404,0.0023092545803156304,1.0048173241453553,1.423234762e+18,1.009549880232953
VG09-12_1_20,2015-02-06 15:00:19,0.5340435496312299,0.002301741646307427,1.0048173241453553,1.423234819e+18,1.0098242306294196
VG09-12_1_22,2015-02-06 15:01:17,0.534020000095405,0.0023192782598188493,1.0048173241453553,1.423234877e+18,1.0101033941900823
VG09-12_1_24,2015-02-06 15:02:14,0.5330458098952653,0.00261965454244875,1.0048173241453553,1.423234934e+18,1.010377744586549
VG09-12_1_26,2015-02-06 15:03:12,0.5340295010584029,0.0024241394432002916,1.0048173241453553,1.423234992e+18,1.0106569081481211
VG09-12_1_28,2015-02-06 15:04:09,0.534675807948674,0.0023842900396570366,1.0048173241453553,1.423235049e+18,1.0109312585445878
VG09-12_1_30,2015-02-06 15:05:06,0.5350178953202149,0.0023014558984803596,1.0048173241453553,1.423235106e+18,1.0112056089410544
VG09-12_1_32,2015-02-06 15:06:04,0.5352742715559797,0.002366788930926062,1.0048173241453553,1.423235164e+18,1.0114847725026266
VG09-12_1_34,2015-02-06 15:07:01,0.5355543983915161,0.0023207879545552707,1.0048173241453553,1.423235221e+18,1.0117591228981837
VG09-12_1_36,2015-02-06 15:07:58,0.5359295189012906,0.002333405095213789,1.0048173241453553,1.423235278e+18,1.0120334732946503
VG09-12_1_38,2015-02-06 15:08:56,0.5363228588270383,0.0023553237102685366,1.0048173241453553,1.423235336e+18,1.0123126368562225
VG09-12_1_40,2015-02-06 15:09:53,0.5136548003609513,0.004050168559628647,1.0048173241453553,1.423235393e+18,1.0125869872526891
VG09-12_1_42,2015-02-06 15:10:50,0.4928453480819318,0.001377504152326001,1.0048173241453553,1.42323545e+18,1.0128613376491558
VG09-12_1_44,2015-02-06 15:11:48,1.009118676738326,0.0007203449206939165,1.0048173241453553,1.423235508e+18,1.013140501210728
VG09-12_1_46,2015-02-06 15:12:45,1.0126367977929358,0.0006533268095944864,1.0048173241453553,1.423235565e+18,1.0134148516071946
VG09-12_1_48,2015-02-06 15:13:42,1.0140349960943562,0.0006116507886980914,1.0048173241453553,1.423235622e+18,1.0136892020036612
VG09-12_1_50,2015-02-06 15:14:40,1.0143526740965125,0.0005912818135807955,1.0048173241453553,1.42323568e+18,1.013968365564324
empty_5_1,2015-02-06 15:18:03,1.0151141886697177,0.0006968266631779863,1.0048173241453553,1.423235883e+18,1.0149454380289171
empty_5_2,2015-02-06 15:19:05,1.0153462487850413,0.0006525894354823146,1.0048173241453553,1.423235945e+18,1.0152438542500022
empty_5_3,2015-02-06 15:20:05,1.01557903490932,0.0006781845281862845,1.0048173241453553,1.423236005e+18,1.015532644140876
empty_5_4,2015-02-06 15:21:06,1.0157284872102974,0.0006851214848331249,1.0048173241453553,1.423236066e+18,1.0158262471968555
empty_5_5,2015-02-06 15:22:06,1.0158850517410065,0.0006973576933017713,1.0048173241453553,1.423236126e+18,1.0161150370877294
